Dataset,Mode,Structure,Metric,Mean,Median,StdDev,Min,Max,Q1,Q3,Runs
lorem_ipsum,0,NaiveTrie,InsertTime,0.705,0.878,0.279,0.187,0.922,0.635,0.905,5
lorem_ipsum,0,NaiveTrie,SearchTime,0.011,0.013,0.004,0.003,0.014,0.010,0.013,5
lorem_ipsum,0,NaiveTrie,Memory,300.625,300.625,0.000,300.625,300.625,300.625,300.625,5
lorem_ipsum,0,NaiveTrie,NodesVisited,177.000,177.000,0.000,177.000,177.000,177.000,177.000,5
lorem_ipsum,0,RadixTrie,InsertTime,0.999,1.184,0.390,0.221,1.219,1.178,1.195,5
lorem_ipsum,0,RadixTrie,SearchTime,0.014,0.017,0.005,0.003,0.017,0.016,0.017,5
lorem_ipsum,0,RadixTrie,Memory,28.491,28.491,0.000,28.491,28.491,28.491,28.491,5
lorem_ipsum,0,RadixTrie,NodesVisited,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5
bee_movie,0,NaiveTrie,InsertTime,5.826,6.454,1.774,2.321,7.072,6.346,6.938,5
bee_movie,0,NaiveTrie,SearchTime,0.204,0.294,0.112,0.054,0.299,0.081,0.294,5
bee_movie,0,NaiveTrie,Memory,5817.012,5817.012,0.000,5817.012,5817.012,5817.012,5817.012,5
bee_movie,0,NaiveTrie,NodesVisited,3163.000,3163.000,0.000,3163.000,3163.000,3163.000,3163.000,5
bee_movie,0,RadixTrie,InsertTime,7.188,7.309,0.877,5.550,7.947,7.189,7.947,5
bee_movie,0,RadixTrie,SearchTime,0.454,0.533,0.184,0.088,0.564,0.522,0.564,5
bee_movie,0,RadixTrie,Memory,448.565,448.565,0.000,448.565,448.565,448.565,448.565,5
bee_movie,0,RadixTrie,NodesVisited,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5
alice_wonderland,0,NaiveTrie,InsertTime,17.677,17.183,1.136,16.889,19.934,17.088,17.288,5
alice_wonderland,0,NaiveTrie,SearchTime,0.580,0.579,0.005,0.573,0.588,0.577,0.583,5
alice_wonderland,0,NaiveTrie,Memory,9418.898,9418.898,0.000,9418.898,9418.898,9418.898,9418.898,5
alice_wonderland,0,NaiveTrie,NodesVisited,5787.000,5787.000,0.000,5787.000,5787.000,5787.000,5787.000,5
