Dataset,Mode,Structure,Nodes,Depth,DepthMedian,WordsSearched,WordsFound,InsertTime,SearchTime,MemoryKB,NodesVisited,Success
lorem_ipsum,0,NaiveTrie,272,13,5.556,37,31,0.295,0.004,300.625,177,1
lorem_ipsum,0,RadixTrie,86,5,3.365,37,31,0.299,0.005,28.491,0,1
bee_movie,0,NaiveTrie,5466,15,5.851,712,534,3.117,0.099,5817.012,3163,1
bee_movie,0,RadixTrie,2307,9,4.886,712,534,2.210,0.162,448.565,0,1
alice_wonderland,0,NaiveTrie,8779,16,6.286,1196,897,14.069,0.499,9418.898,5787,1
alice_wonderland,0,RadixTrie,3849,9,5.251,1196,897,11.700,0.458,821.304,0,1
moby_dick,0,NaiveTrie,48021,20,7.383,10281,8567,49.378,4.386,51858.191,63712,1
moby_dick,0,RadixTrie,21827,12,6.252,10281,8567,33.200,2.163,4962.519,0,1
words_alpha,0,NaiveTrie,1027810,31,9.442,148041,111031,279.779,82.297,1085464.082,1049950,1
words_alpha,0,RadixTrie,478058,18,8.229,148041,111031,88.289,80.537,83611.979,0,1
dna_genome,0,NaiveTrie,10071671,50,49.995,145530,121275,2599.483,525.025,10623415.438,6063181,1
dna_genome,0,RadixTrie,396278,26,10.937,145530,121275,877.206,207.402,75346.896,0,1
wikipedia_titles,1,NaiveTrie,7243167,253,8.220,1385354,1333691,8468.545,1056.953,7966660.039,11221647,1
wikipedia_titles,1,RadixTrie,3380348,43,7.655,1385354,1333691,15158.427,1435.450,908390.565,0,1
