Dataset,Mode,Structure,Metric,Mean,Median,StdDev,Min,Max,Q1,Q3,Runs
lorem_ipsum,0,NaiveTrie,InsertTime,0.814,0.951,0.312,0.191,0.995,0.941,0.992,5
lorem_ipsum,0,NaiveTrie,SearchTime,0.012,0.013,0.004,0.003,0.015,0.013,0.014,5
lorem_ipsum,0,NaiveTrie,Memory,300.625,300.625,0.000,300.625,300.625,300.625,300.625,5
lorem_ipsum,0,NaiveTrie,NodesVisited,177.000,177.000,0.000,177.000,177.000,177.000,177.000,5
lorem_ipsum,0,RadixTrie,InsertTime,1.230,1.232,0.021,1.209,1.265,1.210,1.235,5
lorem_ipsum,0,RadixTrie,SearchTime,0.017,0.017,0.000,0.017,0.017,0.017,0.017,5
lorem_ipsum,0,RadixTrie,Memory,28.491,28.491,0.000,28.491,28.491,28.491,28.491,5
lorem_ipsum,0,RadixTrie,NodesVisited,76.000,76.000,0.000,76.000,76.000,76.000,76.000,5
bee_movie,0,NaiveTrie,InsertTime,8.736,8.089,1.948,7.046,12.555,7.898,8.091,5
bee_movie,0,NaiveTrie,SearchTime,0.327,0.335,0.013,0.308,0.341,0.317,0.336,5
bee_movie,0,NaiveTrie,Memory,5817.012,5817.012,0.000,5817.012,5817.012,5817.012,5817.012,5
bee_movie,0,NaiveTrie,NodesVisited,3163.000,3163.000,0.000,3163.000,3163.000,3163.000,3163.000,5
bee_movie,0,RadixTrie,InsertTime,7.953,8.073,0.397,7.477,8.456,7.504,8.257,5
bee_movie,0,RadixTrie,SearchTime,0.592,0.561,0.058,0.543,0.701,0.556,0.602,5
bee_movie,0,RadixTrie,Memory,448.565,448.565,0.000,448.565,448.565,448.565,448.565,5
bee_movie,0,RadixTrie,NodesVisited,2074.000,2074.000,0.000,2074.000,2074.000,2074.000,2074.000,5
alice_wonderland,0,NaiveTrie,InsertTime,19.106,18.699,0.880,18.394,20.834,18.682,18.922,5
alice_wonderland,0,NaiveTrie,SearchTime,0.629,0.631,0.041,0.566,0.677,0.605,0.669,5
alice_wonderland,0,NaiveTrie,Memory,9418.898,9418.898,0.000,9418.898,9418.898,9418.898,9418.898,5
alice_wonderland,0,NaiveTrie,NodesVisited,5787.000,5787.000,0.000,5787.000,5787.000,5787.000,5787.000,5
alice_wonderland,0,RadixTrie,InsertTime,25.229,25.630,1.414,23.184,27.086,24.078,26.169,5
alice_wonderland,0,RadixTrie,SearchTime,1.137,1.155,0.041,1.070,1.177,1.111,1.170,5
alice_wonderland,0,RadixTrie,Memory,821.304,821.304,0.000,821.304,821.304,821.304,821.304,5
alice_wonderland,0,RadixTrie,NodesVisited,3860.000,3860.000,0.000,3860.000,3860.000,3860.000,3860.000,5
moby_dick,0,NaiveTrie,InsertTime,72.614,71.638,1.796,71.531,76.178,71.565,72.159,5
moby_dick,0,NaiveTrie,SearchTime,3.679,3.643,0.059,3.637,3.793,3.640,3.681,5
moby_dick,0,NaiveTrie,Memory,51858.191,51858.191,0.000,51858.191,51858.191,51858.191,51858.191,5
moby_dick,0,NaiveTrie,NodesVisited,63712.000,63712.000,0.000,63712.000,63712.000,63712.000,63712.000,5
moby_dick,0,RadixTrie,InsertTime,84.703,85.145,1.341,82.211,85.861,84.499,85.800,5
moby_dick,0,RadixTrie,SearchTime,2.665,2.457,0.284,2.392,3.016,2.453,3.008,5
moby_dick,0,RadixTrie,Memory,4962.519,4962.519,0.000,4962.519,4962.519,4962.519,4962.519,5
moby_dick,0,RadixTrie,NodesVisited,45258.000,45258.000,0.000,45258.000,45258.000,45258.000,45258.000,5
words_alpha,0,NaiveTrie,InsertTime,253.525,228.842,39.158,215.365,306.720,221.436,295.262,5
words_alpha,0,NaiveTrie,SearchTime,97.371,92.704,8.464,92.422,114.181,92.447,95.102,5
words_alpha,0,NaiveTrie,Memory,1085464.082,1085464.082,0.000,1085464.082,1085464.082,1085464.082,1085464.082,5
words_alpha,0,NaiveTrie,NodesVisited,1049950.000,1049950.000,0.000,1049950.000,1049950.000,1049950.000,1049950.000,5
words_alpha,0,RadixTrie,InsertTime,148.138,157.236,11.922,130.664,158.679,136.831,157.278,5
words_alpha,0,RadixTrie,SearchTime,133.204,140.419,20.418,93.024,148.325,138.240,146.014,5
words_alpha,0,RadixTrie,Memory,83611.979,83611.979,0.000,83611.979,83611.979,83611.979,83611.979,5
words_alpha,0,RadixTrie,NodesVisited,803752.000,803752.000,0.000,803752.000,803752.000,803752.000,803752.000,5
dna_genome,0,NaiveTrie,InsertTime,2557.960,2533.819,62.013,2468.693,2628.804,2530.498,2627.984,5
dna_genome,0,NaiveTrie,SearchTime,540.794,538.617,17.580,514.223,568.651,535.851,546.626,5
dna_genome,0,NaiveTrie,Memory,10623415.438,10623415.438,0.000,10623415.438,10623415.438,10623415.438,10623415.438,5
dna_genome,0,NaiveTrie,NodesVisited,6063181.000,6063181.000,0.000,6063181.000,6063181.000,6063181.000,6063181.000,5
dna_genome,0,RadixTrie,InsertTime,651.331,554.707,192.614,524.218,1033.766,547.913,596.051,5
dna_genome,0,RadixTrie,SearchTime,262.287,247.902,42.732,209.661,338.249,244.704,270.919,5
dna_genome,0,RadixTrie,Memory,75346.896,75346.896,0.000,75346.896,75346.896,75346.896,75346.896,5
dna_genome,0,RadixTrie,NodesVisited,1205443.000,1205443.000,0.000,1205443.000,1205443.000,1205443.000,1205443.000,5
wikipedia_titles,1,NaiveTrie,InsertTime,8621.644,8534.273,248.098,8438.569,9108.558,8458.191,8568.626,5
wikipedia_titles,1,NaiveTrie,SearchTime,1056.011,1052.831,12.837,1041.414,1071.497,1043.770,1070.542,5
wikipedia_titles,1,NaiveTrie,Memory,7966660.039,7966660.039,0.000,7966660.039,7966660.039,7966660.039,7966660.039,5
wikipedia_titles,1,NaiveTrie,NodesVisited,11221647.000,11221647.000,0.000,11221647.000,11221647.000,11221647.000,11221647.000,5
wikipedia_titles,1,RadixTrie,InsertTime,15262.290,15267.645,21.721,15230.443,15293.275,15246.892,15273.194,5
wikipedia_titles,1,RadixTrie,SearchTime,1436.156,1435.851,2.507,1433.223,1439.676,1433.745,1438.286,5
wikipedia_titles,1,RadixTrie,Memory,908390.565,908390.565,0.000,908390.565,908390.565,908390.565,908390.565,5
wikipedia_titles,1,RadixTrie,NodesVisited,9028289.000,9028289.000,0.000,9028289.000,9028289.000,9028289.000,9028289.000,5
