Dataset,Structure,Mode,WordsSearched,WordsFound,InsertTime,SearchTime,MemoryKB
Naive Trie (Modo 0), ,0,37,31,1.028,0.013,300.625
Radix Tree (Modo 0), ,0,37,31,0.759,0.011,28.491
Naive Trie (Modo 1), ,1,37,31,1.233,0.007,300.625
Radix Tree (Modo 1), ,1,37,31,0.808,0.010,28.491
Naive Trie (Modo 2), ,2,37,31,719.372,0.049,201100.504
Radix Tree (Modo 2), ,2,37,31,468.094,0.066,33926.675
Naive Trie (Modo 0), ,0,712,534,4.471,0.285,5817.012
Radix Tree (Modo 0), ,0,712,534,7.766,0.217,448.565
Naive Trie (Modo 1), ,1,712,534,4.925,0.384,5817.012
Radix Tree (Modo 1), ,1,712,534,4.037,0.213,448.565
Naive Trie (Modo 2), ,2,712,534,3177.085,0.809,753520.875
Radix Tree (Modo 2), ,2,712,534,1759.744,1.284,126370.835
Naive Trie (Modo 0), ,0,1196,897,11.435,0.860,9418.898
Radix Tree (Modo 0), ,0,1196,897,12.933,0.576,821.304
Naive Trie (Modo 1), ,1,1196,897,12.000,0.948,9418.898
Radix Tree (Modo 1), ,1,1196,897,13.995,0.597,821.304
Naive Trie (Modo 0), ,0,148041,111031,3860.712,296.865,1085464.082
Radix Tree (Modo 0), ,0,148041,111031,847.549,294.524,83611.979
Naive Trie (Modo 1), ,1,148041,111031,5126.524,279.107,1085464.082
Radix Tree (Modo 1), ,1,148041,111031,862.451,281.420,83611.979
