Dataset,Modo,Estructura,Palabras_Buscadas,Palabras_Encontradas,Tiempo_Insercion_ms,Tiempo_Busqueda_ms,Memoria_KB,Exito
lorem_ipsum,0,NaiveTrie,37,31,1.034,0.024,300.625,1
lorem_ipsum,0,RadixTrie,37,31,0.967,0.011,28.491,1
lorem_ipsum,1,NaiveTrie,37,31,1.098,0.007,300.625,1
lorem_ipsum,1,RadixTrie,37,31,0.794,0.010,28.491,1
bee_movie_script,0,NaiveTrie,712,534,14.494,0.410,5817.012,1
bee_movie_script,0,RadixTrie,712,534,5.391,0.233,448.565,1
bee_movie_script,1,NaiveTrie,712,534,14.865,0.323,5817.012,1
bee_movie_script,1,RadixTrie,712,534,5.204,0.224,448.565,1
Alice_in_Wonderland,0,NaiveTrie,1196,897,27.172,0.687,9418.898,1
Alice_in_Wonderland,0,RadixTrie,1196,897,13.784,0.548,821.304,1
Alice_in_Wonderland,1,NaiveTrie,1196,897,28.377,0.722,9418.898,1
Alice_in_Wonderland,1,RadixTrie,1196,897,14.734,0.472,821.304,1
words_alpha,0,NaiveTrie,148041,111031,4070.309,289.741,1085464.082,1
words_alpha,0,RadixTrie,148041,111031,720.627,288.774,83611.979,1
words_alpha,1,NaiveTrie,148041,111031,4692.026,282.875,1085464.082,1
words_alpha,1,RadixTrie,148041,111031,782.462,274.006,83611.979,1
